Order_ID,Order_Date,Product_ID,Product_Category,Buyer_Gender,Buyer_Age,Order_Location,International_Shipping,Sales_Price,Shipping_Charges,Sales_per_Unit,Quantity,Total_Sales,Rating
155281,2024-02-26,BF1547,Ornaments,Male,22,Cleveland,No,32,0,32,3,96,5
183087,2024-02-16,BF1548,Clothing,Male,25,Austin,No,65,0,65,1,65,2
185910,2024-07-09,BF1548,Clothing,Female,22,Glasgow,Yes,65,40,105,1,105,4
165100,2024-10-12,BF1545,Other,Male,29,Dublin,Yes,10,40,50,1,50,5
167831,2024-03-09,BF1547,Ornaments,Male,22,New Jersey,No,32,0,32,1,32,5
185069,2024-01-12,BF1544,Other,Male,32,Cleveland,No,9,0,9,1,9,4
153675,2024-05-30,BF1547,Ornaments,Male,31,Cardiff,Yes,32,40,72,5,360,5
169012,2024-06-10,BF1544,Other,Female,21,New York,No,9,0,9,1,9,2
185868,2024-01-14,BF1545,Other,Female,18,Pittsburgh,No,10,0,10,1,10,4
199507,2024-05-10,BF1545,Other,Male,22,Cleveland,No,10,0,10,2,20,3
187807,2024-04-21,BF1548,Clothing,Male,20,Pittsburgh,No,65,0,65,1,65,2
131889,2024-04-17,BF1548,Clothing,Female,19,Montreal,Yes,65,25,90,1,90,4
191650,2024-07-11,BF1548,Clothing,Male,35,Las Vegas,No,65,0,65,5,325,1
120961,2024-08-28,BF1548,Clothing,Female,23,Glasgow,Yes,65,40,105,1,105,3
123878,2024-07-18,BF1544,Other,Male,19,Toronto,Yes,9,25,34,1,34,4
142003,2024-07-22,BF1548,Clothing,Male,32,Cardiff,Yes,65,40,105,1,105,5
177177,2024-05-12,BF1549,Clothing,Male,33,Las Vegas,No,130,0,130,1,130,3
182615,2024-02-18,BF1550,Clothing,Female,26,Sacramento,No,97,0,97,5,485,2
163266,2024-06-23,BF1551,Ornaments,Female,26,Mumbai,Yes,15,70,85,1,85,5
159105,2024-04-20,BF1545,Other,Male,21,London,Yes,10,40,50,1,50,4
150308,2024-06-09,BF1548,Clothing,Female,22,Glasgow,Yes,65,40,105,3,315,4
125917,2024-05-29,BF1552,Ornaments,Male,28,London,Yes,45,40,85,1,85,5
199874,2024-02-26,BF1552,Ornaments,Male,26,New Jersey,No,45,0,45,2,90,4
175571,2024-04-02,BF1550,Clothing,Female,21,Memphis,No,97,0,97,1,97,4
184218,2023-12-19,BF1545,Other,Female,25,San Antonio,No,10,0,10,2,20,3
192227,2024-02-15,BF1543,Clothing,Male,33,San Francisco,No,100,0,100,3,300,1
139449,2024-01-20,BF1549,Clothing,Female,25,Austin,No,130,0,130,1,130,2
168070,2024-09-26,BF1553,Ornaments,Male,18,London,Yes,50,40,90,1,90,5
163107,2024-08-25,BF1548,Clothing,Male,32,Las Vegas,No,65,0,65,1,65,4
135780,2024-10-20,BF1548,Clothing,Female,27,London,Yes,65,40,105,1,105,4
138768,2024-03-06,BF1548,Clothing,Male,28,Manchester,Yes,65,40,105,1,105,5
133935,2024-04-16,BF1544,Other,Male,24,New York,No,9,0,9,2,18,5
193605,2024-04-05,BF1545,Other,Male,21,Liverpool,Yes,10,40,50,1,50,1
132689,2024-04-21,BF1554,Ornaments,Male,29,Miami,No,20,0,20,1,20,5
123840,2024-09-20,BF1551,Ornaments,Male,34,Portland,No,15,0,15,4,60,1
180476,2024-02-29,BF1553,Ornaments,Female,24,Manchester,Yes,50,40,90,2,180,5
173951,2024-02-05,BF1551,Ornaments,Male,33,Sacramento,No,15,0,15,1,15,4
168749,2024-03-02,BF1548,Clothing,Male,20,Detroit,No,65,0,65,1,65,1
167082,2024-10-03,BF1543,Clothing,Female,20,Las Vegas,No,100,0,100,2,200,4
134606,2024-04-08,BF1543,Clothing,Female,32,Liverpool,Yes,100,40,140,1,140,3
178674,2024-04-22,BF1551,Ornaments,Female,21,Toronto,Yes,15,25,40,3,120,4
155829,2023-11-13,BF1549,Clothing,Male,26,New Jersey,No,130,0,130,2,260,1
169753,2024-07-13,BF1543,Clothing,Male,31,New Jersey,No,100,0,100,5,500,5
167695,2023-12-11,BF1552,Ornaments,Female,26,Paris,Yes,45,50,95,2,190,1
158619,2024-01-31,BF1545,Other,Female,24,San Francisco,No,10,0,10,1,10,4
131132,2024-02-03,BF1544,Other,Male,24,Cleveland,No,9,0,9,1,9,4
132399,2024-01-26,BF1548,Clothing,Male,20,San Francisco,No,65,0,65,2,130,4
198208,2024-09-21,BF1548,Clothing,Male,25,New York,No,65,0,65,2,130,5
194476,2024-02-09,BF1544,Other,Female,31,Detroit,No,9,0,9,3,27,1
137794,2024-01-20,BF1550,Clothing,Male,23,New Jersey,No,97,0,97,1,97,2
158342,2024-03-30,BF1550,Clothing,Male,34,New Jersey,No,97,0,97,1,97,3
132788,2024-11-03,BF1546,Clothing,Male,19,New Jersey,No,118,0,118,1,118,5
131843,2024-09-24,BF1549,Clothing,Male,34,Detroit,No,130,0,130,3,390,4
169590,2023-12-02,BF1546,Clothing,Female,35,Cleveland,No,118,0,118,4,472,4
172697,2023-11-16,BF1551,Ornaments,Male,34,Las Vegas,No,15,0,15,1,15,3
130779,2024-08-03,BF1548,Clothing,Female,18,Cleveland,No,65,0,65,2,130,3
152864,2023-11-12,BF1551,Ornaments,Male,32,Portland,No,15,0,15,1,15,4
122419,2024-04-10,BF1551,Ornaments,Male,33,Portland,No,15,0,15,1,15,4
155500,2024-02-05,BF1551,Ornaments,Female,27,Paris,Yes,15,50,65,1,65,5
175860,2024-07-24,BF1551,Ornaments,Female,21,Miami,No,15,0,15,2,30,5
186716,2023-12-11,BF1551,Ornaments,Female,19,New York,No,15,0,15,4,60,4
187116,2024-02-26,BF1546,Clothing,Female,31,Memphis,No,118,0,118,1,118,4
121074,2024-05-13,BF1550,Clothing,Male,35,Cleveland,No,97,0,97,1,97,1
173964,2024-05-22,BF1549,Clothing,Male,28,Detroit,No,130,0,130,2,260,1
145870,2024-01-22,BF1550,Clothing,Male,18,Cardiff,Yes,97,40,137,2,274,4
136732,2024-06-12,BF1544,Other,Male,26,Cardiff,Yes,9,40,49,2,98,5
191495,2023-12-14,BF1546,Clothing,Female,21,Glasgow,Yes,118,40,158,3,474,3
169331,2024-03-20,BF1545,Other,Female,23,San Francisco,No,10,0,10,2,20,3
151140,2023-12-10,BF1551,Ornaments,Male,29,Detroit,No,15,0,15,2,30,3
187087,2023-11-21,BF1551,Ornaments,Male,35,Detroit,No,15,0,15,1,15,4
131554,2024-10-20,BF1551,Ornaments,Male,23,Pittsburgh,No,15,0,15,1,15,3
123826,2024-05-08,BF1549,Clothing,Male,21,Miami,No,130,0,130,1,130,1
135782,2024-03-14,BF1554,Ornaments,Female,27,Portland,No,20,0,20,1,20,4
123608,2024-07-28,BF1548,Clothing,Male,33,Cleveland,No,65,0,65,1,65,5
123848,2024-03-24,BF1551,Ornaments,Male,20,Detroit,No,15,0,15,1,15,4
165876,2024-07-18,BF1545,Other,Female,18,Detroit,No,10,0,10,1,10,5
192958,2023-11-20,BF1551,Ornaments,Male,34,Las Vegas,No,15,0,15,2,30,4
169192,2024-09-29,BF1551,Ornaments,Male,30,Detroit,No,15,0,15,1,15,5
158535,2024-01-05,BF1552,Ornaments,Female,28,Cardiff,Yes,45,40,85,3,255,2
147567,2024-06-27,BF1547,Ornaments,Male,23,Detroit,No,32,0,32,2,64,5
137542,2023-12-22,BF1555,Other,Female,25,Austin,No,23,0,23,1,23,4
196642,2024-01-10,BF1548,Clothing,Male,25,New York,No,65,0,65,2,130,4
186569,2024-10-24,BF1550,Clothing,Male,32,Detroit,No,97,0,97,5,485,5
194909,2023-11-13,BF1552,Ornaments,Female,25,San Antonio,No,45,0,45,2,90,1
170579,2024-03-08,BF1544,Other,Male,27,San Antonio,No,9,0,9,1,9,3
138353,2023-11-24,BF1546,Clothing,Female,21,Detroit,No,118,0,118,1,118,1
199565,2024-06-13,BF1555,Other,Female,20,San Antonio,No,23,0,23,2,46,3
147676,2024-07-31,BF1551,Ornaments,Male,34,New York,No,15,0,15,5,75,5
138964,2024-08-12,BF1544,Other,Male,29,New Delhi,Yes,9,70,79,1,79,5
141276,2024-10-28,BF1549,Clothing,Male,18,New Jersey,No,130,0,130,1,130,3
181005,2024-03-22,BF1549,Clothing,Female,25,Toronto,Yes,130,25,155,1,155,4
149143,2024-06-01,BF1554,Ornaments,Female,23,Las Vegas,No,20,0,20,1,20,4
171098,2024-09-25,BF1550,Clothing,Female,25,Sacramento,No,97,0,97,1,97,4
191971,2024-02-23,BF1552,Ornaments,Male,31,Miami,No,45,0,45,4,180,4
153977,2024-02-01,BF1555,Other,Male,32,New Jersey,No,23,0,23,1,23,5
175759,2023-11-24,BF1545,Other,Male,28,Las Vegas,No,10,0,10,3,30,5
153093,2023-11-14,BF1544,Other,Male,19,London,Yes,9,40,49,2,98,5
134449,2024-09-24,BF1548,Clothing,Female,26,Portland,No,65,0,65,1,65,2
139314,2024-05-28,BF1543,Clothing,Male,31,Mumbai,Yes,100,70,170,1,170,4
199994,2024-10-30,BF1553,Ornaments,Male,18,Las Vegas,No,50,0,50,3,150,5
130113,2024-09-22,BF1544,Other,Female,18,New York,No,9,0,9,1,9,4
170515,2024-04-03,BF1548,Clothing,Male,30,Sacramento,No,65,0,65,1,65,4
153570,2024-08-31,BF1543,Clothing,Male,35,Memphis,No,100,0,100,1,100,3
146290,2024-08-30,BF1545,Other,Male,29,San Francisco,No,10,0,10,3,30,5
168381,2024-04-04,BF1544,Other,Male,19,Memphis,No,9,0,9,3,27,4
165081,2023-11-13,BF1550,Clothing,Female,26,Glasgow,Yes,97,40,137,2,274,3
183974,2024-10-07,BF1545,Other,Male,34,Cleveland,No,10,0,10,2,20,3
125537,2024-01-16,BF1548,Clothing,Male,29,Memphis,No,65,0,65,2,130,2
191604,2024-09-17,BF1545,Other,Male,35,Miami,No,10,0,10,1,10,2
189849,2024-02-08,BF1547,Ornaments,Male,31,Portland,No,32,0,32,2,64,5
127493,2024-08-28,BF1545,Other,Male,29,Pittsburgh,No,10,0,10,5,50,4
124056,2023-11-18,BF1547,Ornaments,Female,18,Sacramento,No,32,0,32,1,32,5
199100,2024-02-04,BF1544,Other,Male,35,Las Vegas,No,9,0,9,1,9,5
185431,2024-02-27,BF1551,Ornaments,Female,26,Dublin,Yes,15,40,55,1,55,5
155300,2024-09-12,BF1551,Ornaments,Female,22,Manchester,Yes,15,40,55,5,275,1
140731,2023-12-12,BF1550,Clothing,Female,30,Toronto,Yes,97,25,122,1,122,3
166773,2023-11-12,BF1554,Ornaments,Female,24,Austin,No,20,0,20,2,40,2
186643,2023-12-20,BF1548,Clothing,Male,24,Sacramento,No,65,0,65,1,65,5
182192,2024-02-02,BF1546,Clothing,Male,27,Memphis,No,118,0,118,1,118,4
196273,2024-08-19,BF1548,Clothing,Female,26,London,Yes,65,40,105,1,105,4
126824,2024-05-02,BF1551,Ornaments,Male,29,Portland,No,15,0,15,5,75,5
148399,2024-01-06,BF1547,Ornaments,Male,33,Sacramento,No,32,0,32,1,32,5
146753,2024-02-25,BF1553,Ornaments,Male,30,San Antonio,No,50,0,50,2,100,1
148705,2024-01-04,BF1549,Clothing,Male,29,Toronto,Yes,130,25,155,1,155,4
166666,2023-11-10,BF1545,Other,Female,35,Dublin,Yes,10,40,50,1,50,3
182416,2023-12-18,BF1555,Other,Female,32,New Delhi,Yes,23,70,93,2,186,4
158629,2024-05-14,BF1552,Ornaments,Female,32,New York,No,45,0,45,1,45,4
158850,2024-08-25,BF1548,Clothing,Male,28,Glasgow,Yes,65,40,105,1,105,4
128193,2024-05-10,BF1551,Ornaments,Male,23,Cleveland,No,15,0,15,2,30,5
191979,2024-07-25,BF1554,Ornaments,Male,35,Cleveland,No,20,0,20,1,20,2
140154,2023-11-19,BF1544,Other,Male,18,London,Yes,9,40,49,1,49,5
127437,2024-06-08,BF1544,Other,Male,23,San Antonio,No,9,0,9,1,9,3
194812,2024-02-08,BF1548,Clothing,Female,34,Miami,No,65,0,65,4,260,5
199077,2024-03-24,BF1544,Other,Male,23,Memphis,No,9,0,9,1,9,5
134543,2024-08-01,BF1543,Clothing,Male,20,New Delhi,Yes,100,70,170,4,680,5
177295,2024-04-05,BF1548,Clothing,Female,24,Manchester,Yes,65,40,105,2,210,5
195115,2024-05-25,BF1543,Clothing,Male,18,Liverpool,Yes,100,40,140,2,280,4
134487,2024-03-19,BF1551,Ornaments,Male,22,Austin,No,15,0,15,4,60,5
161617,2024-05-01,BF1553,Ornaments,Male,28,New York,No,50,0,50,4,200,4
123244,2023-11-30,BF1551,Ornaments,Male,34,Pittsburgh,No,15,0,15,3,45,3
124180,2024-04-29,BF1548,Clothing,Male,22,Detroit,No,65,0,65,2,130,4
199233,2024-05-16,BF1548,Clothing,Male,31,Miami,No,65,0,65,1,65,5
167366,2023-12-26,BF1550,Clothing,Female,25,San Antonio,No,97,0,97,4,388,5
136897,2024-05-20,BF1552,Ornaments,Male,29,San Antonio,No,45,0,45,2,90,2
196235,2024-02-24,BF1548,Clothing,Male,29,New York,No,65,0,65,5,325,5
121457,2024-10-23,BF1551,Ornaments,Male,18,Paris,Yes,15,50,65,1,65,4
197590,2024-01-20,BF1543,Clothing,Male,19,Portland,No,100,0,100,3,300,3
149173,2024-07-05,BF1545,Other,Female,23,New York,No,10,0,10,1,10,4
150160,2024-06-25,BF1551,Ornaments,Female,20,San Antonio,No,15,0,15,1,15,4
197758,2024-03-15,BF1546,Clothing,Male,33,San Antonio,No,118,0,118,1,118,5
151631,2024-05-01,BF1551,Ornaments,Male,26,Portland,No,15,0,15,1,15,2
194418,2024-09-02,BF1548,Clothing,Male,30,Miami,No,65,0,65,4,260,4
183753,2024-03-30,BF1554,Ornaments,Female,31,Cardiff,Yes,20,40,60,4,240,4
154579,2024-03-27,BF1550,Clothing,Male,35,Glasgow,Yes,97,40,137,2,274,5
177667,2024-08-20,BF1552,Ornaments,Male,22,San Francisco,No,45,0,45,3,135,3
183737,2023-12-19,BF1551,Ornaments,Male,34,Austin,No,15,0,15,4,60,3
181320,2024-05-31,BF1551,Ornaments,Male,23,Montreal,Yes,15,25,40,1,40,2
166728,2024-01-25,BF1547,Ornaments,Male,29,Memphis,No,32,0,32,1,32,3
180784,2023-11-22,BF1552,Ornaments,Male,28,Manchester,Yes,45,40,85,1,85,5
145855,2024-06-26,BF1548,Clothing,Female,22,Dublin,Yes,65,40,105,1,105,3
122636,2024-04-18,BF1553,Ornaments,Male,29,Portland,No,50,0,50,1,50,5
153495,2024-05-05,BF1545,Other,Male,28,Pittsburgh,No,10,0,10,1,10,4
195640,2024-04-28,BF1551,Ornaments,Male,21,Cleveland,No,15,0,15,3,45,1
122077,2024-10-16,BF1551,Ornaments,Male,25,Portland,No,15,0,15,1,15,5
192918,2024-08-09,BF1554,Ornaments,Male,18,Portland,No,20,0,20,1,20,4
188553,2024-03-28,BF1549,Clothing,Male,33,Detroit,No,130,0,130,1,130,4
171654,2024-06-21,BF1548,Clothing,Male,32,San Antonio,No,65,0,65,2,130,4
167856,2024-05-25,BF1543,Clothing,Male,22,New Jersey,No,100,0,100,1,100,5
156566,2023-11-20,BF1550,Clothing,Male,21,Miami,No,97,0,97,1,97,3
124563,2023-12-29,BF1548,Clothing,Male,27,Paris,Yes,65,50,115,1,115,4
122527,2024-05-30,BF1545,Other,Female,22,Detroit,No,10,0,10,1,10,5
132714,2024-04-01,BF1548,Clothing,Male,25,Sacramento,No,65,0,65,1,65,1
160595,2023-12-06,BF1543,Clothing,Male,25,Portland,No,100,0,100,1,100,3
150539,2024-06-26,BF1549,Clothing,Male,20,Las Vegas,No,130,0,130,1,130,2
179061,2024-02-07,BF1550,Clothing,Male,35,Sacramento,No,97,0,97,1,97,3
155374,2024-05-01,BF1548,Clothing,Male,21,San Francisco,No,65,0,65,1,65,4
156992,2024-07-28,BF1545,Other,Male,27,Cardiff,Yes,10,40,50,3,150,4
180627,2024-02-25,BF1547,Ornaments,Male,22,New Delhi,Yes,32,70,102,1,102,5
132929,2024-07-20,BF1548,Clothing,Male,25,Las Vegas,No,65,0,65,1,65,4
169686,2024-09-06,BF1548,Clothing,Male,18,Miami,No,65,0,65,2,130,4
125304,2024-06-14,BF1548,Clothing,Male,28,San Antonio,No,65,0,65,1,65,3
132537,2024-03-29,BF1551,Ornaments,Female,31,New York,No,15,0,15,3,45,5
142468,2024-05-04,BF1552,Ornaments,Female,33,Las Vegas,No,45,0,45,2,90,5
170125,2024-09-09,BF1553,Ornaments,Male,24,Manchester,Yes,50,40,90,1,90,5
193227,2024-05-30,BF1551,Ornaments,Male,27,New York,No,15,0,15,2,30,5
134411,2024-07-13,BF1543,Clothing,Male,32,Cleveland,No,100,0,100,1,100,5
175881,2024-05-30,BF1545,Other,Male,22,Memphis,No,10,0,10,1,10,5
159414,2024-04-22,BF1548,Clothing,Male,33,Cleveland,No,65,0,65,2,130,5
155137,2023-12-06,BF1544,Other,Female,22,Paris,Yes,9,50,59,2,118,2
174788,2024-05-16,BF1543,Clothing,Male,25,Pittsburgh,No,100,0,100,1,100,4
182604,2024-04-19,BF1554,Ornaments,Male,21,San Francisco,No,20,0,20,1,20,3
186493,2024-05-04,BF1543,Clothing,Male,24,New Jersey,No,100,0,100,4,400,4
125592,2024-09-10,BF1544,Other,Male,33,Liverpool,Yes,9,40,49,1,49,5
174567,2024-04-12,BF1543,Clothing,Female,30,San Francisco,No,100,0,100,4,400,1
177508,2024-09-18,BF1547,Ornaments,Male,25,Austin,No,32,0,32,1,32,4
131784,2024-08-09,BF1544,Other,Female,30,Portland,No,9,0,9,1,9,4
152883,2024-08-31,BF1544,Other,Female,32,Cardiff,Yes,9,40,49,4,196,5
127588,2023-11-29,BF1551,Ornaments,Female,28,San Antonio,No,15,0,15,1,15,5
163608,2024-03-05,BF1550,Clothing,Male,31,Memphis,No,97,0,97,1,97,1
159392,2024-02-26,BF1555,Other,Male,34,Memphis,No,23,0,23,1,23,1
157659,2024-01-27,BF1545,Other,Male,20,San Antonio,No,10,0,10,1,10,5
152161,2024-03-25,BF1543,Clothing,Male,26,San Francisco,No,100,0,100,2,200,4
138323,2024-02-03,BF1543,Clothing,Male,26,Austin,No,100,0,100,2,200,4
145046,2024-05-30,BF1548,Clothing,Male,27,San Francisco,No,65,0,65,1,65,4
162525,2024-02-08,BF1546,Clothing,Male,23,Portland,No,118,0,118,2,236,4
189623,2023-12-18,BF1545,Other,Female,25,Pittsburgh,No,10,0,10,3,30,3
180238,2023-12-17,BF1550,Clothing,Male,34,Las Vegas,No,97,0,97,1,97,5
131954,2024-09-08,BF1547,Ornaments,Female,22,San Francisco,No,32,0,32,1,32,2
168008,2024-06-16,BF1548,Clothing,Male,34,Toronto,Yes,65,25,90,1,90,5
147877,2024-10-05,BF1551,Ornaments,Male,35,Memphis,No,15,0,15,2,30,2
128702,2024-08-20,BF1551,Ornaments,Male,34,San Francisco,No,15,0,15,1,15,4
151291,2024-02-13,BF1546,Clothing,Male,29,Glasgow,Yes,118,40,158,1,158,1
148784,2023-11-05,BF1554,Ornaments,Male,21,New Jersey,No,20,0,20,4,80,5
183686,2024-06-10,BF1553,Ornaments,Female,24,Cardiff,Yes,50,40,90,1,90,5
133696,2024-07-04,BF1548,Clothing,Male,28,Las Vegas,No,65,0,65,4,260,1
120627,2024-02-22,BF1551,Ornaments,Male,21,Austin,No,15,0,15,1,15,5
172867,2024-03-15,BF1548,Clothing,Female,25,Cardiff,Yes,65,40,105,2,210,5
155930,2024-01-04,BF1548,Clothing,Male,28,Detroit,No,65,0,65,1,65,5
172590,2024-10-29,BF1548,Clothing,Male,29,San Francisco,No,65,0,65,4,260,1
198462,2024-08-01,BF1550,Clothing,Male,26,Pittsburgh,No,97,0,97,2,194,3
175187,2023-12-21,BF1548,Clothing,Female,22,Austin,No,65,0,65,2,130,5
187024,2024-05-26,BF1546,Clothing,Female,27,Mumbai,Yes,118,70,188,1,188,5
143346,2024-09-26,BF1550,Clothing,Male,29,Cleveland,No,97,0,97,3,291,1
169574,2023-12-06,BF1554,Ornaments,Female,25,San Antonio,No,20,0,20,1,20,4
124594,2024-06-14,BF1549,Clothing,Male,27,Detroit,No,130,0,130,4,520,5
124346,2024-10-24,BF1548,Clothing,Male,21,New Delhi,Yes,65,70,135,1,135,5
136137,2024-03-26,BF1546,Clothing,Male,32,Glasgow,Yes,118,40,158,1,158,3
127778,2023-12-07,BF1548,Clothing,Male,19,Dublin,Yes,65,40,105,1,105,4
129800,2024-07-15,BF1549,Clothing,Male,18,Montreal,Yes,130,25,155,1,155,3
194324,2024-01-07,BF1548,Clothing,Male,19,Glasgow,Yes,65,40,105,3,315,3
162134,2023-12-09,BF1551,Ornaments,Female,28,Pittsburgh,No,15,0,15,2,30,3
176186,2024-09-16,BF1544,Other,Male,30,Sacramento,No,9,0,9,1,9,5
170835,2024-05-08,BF1544,Other,Female,22,New York,No,9,0,9,1,9,2
131976,2024-05-09,BF1548,Clothing,Male,30,Sacramento,No,65,0,65,3,195,4
183810,2024-10-11,BF1554,Ornaments,Female,30,Manchester,Yes,20,40,60,1,60,5
139408,2024-02-25,BF1545,Other,Female,18,Austin,No,10,0,10,1,10,5
165573,2024-07-08,BF1543,Clothing,Male,25,San Francisco,No,100,0,100,1,100,4
176660,2024-02-21,BF1552,Ornaments,Male,19,Pittsburgh,No,45,0,45,1,45,5
142333,2023-12-08,BF1543,Clothing,Male,25,Cleveland,No,100,0,100,1,100,1
145167,2023-11-07,BF1544,Other,Female,33,London,Yes,9,40,49,3,147,4
157577,2023-11-06,BF1548,Clothing,Male,22,Portland,No,65,0,65,1,65,1
135350,2024-01-15,BF1545,Other,Female,19,Liverpool,Yes,10,40,50,1,50,5
120568,2023-12-20,BF1548,Clothing,Male,33,Las Vegas,No,65,0,65,1,65,4
160095,2024-03-14,BF1551,Ornaments,Male,27,Sacramento,No,15,0,15,1,15,4
179056,2024-05-05,BF1549,Clothing,Male,21,New Delhi,Yes,130,70,200,1,200,5
165451,2024-04-08,BF1544,Other,Male,19,San Francisco,No,9,0,9,4,36,1
121799,2024-07-01,BF1548,Clothing,Male,24,San Antonio,No,65,0,65,2,130,3
123216,2024-05-26,BF1548,Clothing,Male,29,San Antonio,No,65,0,65,1,65,4
140248,2024-03-17,BF1554,Ornaments,Male,25,Austin,No,20,0,20,1,20,4
137696,2024-05-30,BF1549,Clothing,Male,35,Las Vegas,No,130,0,130,1,130,3
181638,2024-03-26,BF1545,Other,Male,21,Memphis,No,10,0,10,1,10,1
151980,2024-06-06,BF1550,Clothing,Male,23,Sacramento,No,97,0,97,2,194,5
148836,2024-05-20,BF1543,Clothing,Male,32,Toronto,Yes,100,25,125,1,125,5
174505,2024-05-04,BF1549,Clothing,Male,19,Liverpool,Yes,130,40,170,2,340,1
173095,2024-02-25,BF1551,Ornaments,Female,21,Paris,Yes,15,50,65,3,195,4
164321,2024-10-23,BF1550,Clothing,Female,29,San Antonio,No,97,0,97,1,97,2
126695,2024-09-25,BF1550,Clothing,Male,27,Sydney,Yes,97,100,197,1,197,5
134130,2024-03-25,BF1551,Ornaments,Male,31,Portland,No,15,0,15,5,75,4
139393,2024-03-20,BF1551,Ornaments,Female,29,New Delhi,Yes,15,70,85,1,85,1
195939,2024-09-21,BF1545,Other,Female,22,Austin,No,10,0,10,5,50,1
140569,2023-11-10,BF1551,Ornaments,Male,24,San Antonio,No,15,0,15,1,15,5
154216,2024-04-01,BF1543,Clothing,Male,30,New Delhi,Yes,100,70,170,3,510,3
121139,2024-07-28,BF1555,Other,Female,25,Toronto,Yes,23,25,48,1,48,5
174578,2023-12-06,BF1548,Clothing,Male,20,San Antonio,No,65,0,65,2,130,2
136284,2024-10-18,BF1546,Clothing,Male,30,New Delhi,Yes,118,70,188,1,188,4
174848,2024-01-08,BF1544,Other,Female,33,Sacramento,No,9,0,9,1,9,4
143605,2024-07-09,BF1548,Clothing,Male,32,Miami,No,65,0,65,1,65,5
175671,2023-12-30,BF1543,Clothing,Male,35,New Jersey,No,100,0,100,1,100,5
134459,2024-07-22,BF1544,Other,Male,18,Memphis,No,9,0,9,2,18,3
172320,2024-10-20,BF1545,Other,Male,21,Sacramento,No,10,0,10,4,40,3
132074,2024-05-14,BF1543,Clothing,Male,23,Mumbai,Yes,100,70,170,1,170,3
131113,2024-10-15,BF1550,Clothing,Male,33,Detroit,No,97,0,97,1,97,5
120352,2024-03-12,BF1552,Ornaments,Male,30,San Antonio,No,45,0,45,1,45,5
141396,2023-11-10,BF1547,Ornaments,Male,29,Cleveland,No,32,0,32,3,96,4
175005,2024-01-08,BF1550,Clothing,Male,33,New Jersey,No,97,0,97,1,97,1
194465,2024-08-17,BF1548,Clothing,Male,32,Liverpool,Yes,65,40,105,2,210,1
