XGBoost,LGBMRegressor,RandomForestRegressor,LinearRegression,SVR,Ridge,BayesianRidge,Lasso,ElasticNet,StackingRegressor
2510.4465,2685.5829406992148,2568.29,2760.0644481291765,2683.3732174490583,2391.509354077633,2829.7956850868677,2822.33610105285,2793.2522144821564,2736.9760739573217
1725.5127,1596.734624846421,1786.85,1759.7101976412055,1781.1868166122588,1841.996779420739,1743.9854047128304,1740.1011896711702,1793.4810886117696,1742.8494845410492
1527.0005,1620.5651424794914,1643.81,1669.2514028262565,1702.7134510125036,1659.6071877676673,1640.7379512152477,1746.0234686955612,1717.4590602894232,1652.6334413889676
1862.4912,1676.2059358115812,1809.44,1652.0708868134689,1680.2431664085018,1751.1872170285258,1651.0263575598426,1649.8693949407696,1674.7266961406976,1671.3239274084624
2289.71,2166.6361718621956,2297.905666666667,2329.532677135136,2359.958129330073,2301.8267938653526,2318.5132514359148,2370.583855775317,2377.4459096189657,2322.6266661333316
3065.556,2758.7885316140473,2912.61,2591.1753334765126,2580.724706380163,2398.139973355762,2614.073628612627,2660.0088579793887,2650.042215981677,2667.7914513151104
2208.5227,2086.147159122587,2047.415,1930.874285132347,2002.9605594072493,2081.6089818071196,1928.4787953767882,1950.9865150652718,1995.9860557630914,1961.3973397794605
1819.9355,1600.205671752127,1661.77,1602.0545630651025,1705.0288618546913,1645.5394258068948,1597.1394021234235,1769.795456232413,1724.9282548242302,1607.5573193181642
2964.1875,3080.8051751883877,3006.34,3326.514249608947,3262.119210976642,3537.974895321442,3331.021749108134,3206.1420592578884,3234.727004829164,3234.2970558330426
2567.0354,2524.3460278591374,2630.8,3693.862681967744,3440.300939070527,3774.5616735543413,3759.641232772386,3400.708683243485,3410.8417215070986,3418.190934165868
2367.795,2262.651893898712,2214.38,2237.427130492587,2227.0575146828783,2073.7172840272533,2220.763529430299,2279.648401605972,2279.882490807917,2237.6747726360313
1477.9854,1489.5877305679892,1526.13,1630.3248469748337,1636.7252357658,1708.7492805188983,1625.0476401691553,1614.6902835087992,1641.8047733921264,1610.1628409409059
1519.7812,1424.996386168412,1539.41,1442.2843276417223,1463.8294264324943,1630.8732202316437,1471.7781834483571,1409.4690580852973,1445.0714114075379,1474.5303181095474
1832.305,1675.472494561734,1738.36,1713.9639890952376,1745.2442115817687,1616.772233892493,1664.87183859592,1848.4048850849547,1792.9744943504747,1693.326878257862
1565.2123,1541.5169182506804,1569.51,1677.7140001718258,1679.9346764893273,1719.4605966926692,1670.893962603471,1678.3749010653962,1705.131668907581,1650.3408063986806
2460.4692,2635.636981644596,2691.38,2731.839029253424,2647.088562538382,2423.8001796943386,2734.151968890095,2739.647091036768,2702.71912440432,2721.764916948046
1666.0049,1713.1312924777596,1587.63,1550.2042744179203,1566.2689977707344,1605.301445152633,1537.428008606014,1578.4752650455011,1568.656689030021,1558.3243467931675
2375.027,2254.676632498045,2195.805,2078.1258811828984,2135.8449586653155,2137.972730901021,2071.620508436678,2115.7818775134538,2133.9190758116797,2098.821852956635
2705.2712,2792.1758072607136,2648.13,2576.991493930975,2620.7806244702083,2648.1095630398127,2543.0564979968044,2600.9434731959523,2625.0287078699457,2583.0109120628126
2305.2407,2544.16462112752,2520.7,2569.227606294941,2527.8304523695265,2337.3625519857615,2559.7204039169956,2608.9221471161113,2579.7847709138264,2547.3008110045066
1160.5378,1370.7289450181577,1403.77,1578.6200878873092,1547.9350018838888,1435.415110369309,1511.7921351388486,1687.9817401998653,1615.8627984216992,1460.4389216608504
1703.0077,1648.6113345531999,1626.8,1637.0347920758963,1732.3404871057721,1779.998189699468,1668.175946906238,1717.3815438258573,1729.188191526323,1645.3297454061546
1045.6812,1074.7945232197499,1182.65,1262.1000943102392,1256.4596848080403,1399.9782021845263,1268.9969109180042,1269.670530289405,1239.1197263582349,1238.32219131376
2029.9471,2090.3683186814483,2231.4966666666664,2262.372190337948,2299.049537884072,2196.8925769182565,2248.733034671146,2329.535337386892,2309.1793026328373,2234.370399825526
3001.6777,2881.6106093954086,2835.98,2735.433819820326,2672.4267313885507,2513.3819157845182,2732.4988957282267,2739.245260980872,2719.846191538334,2763.214242033938
2261.7778,2226.1835065748232,2188.59,2038.4043263374629,2081.6683685835455,1996.007931952765,2017.5609725753773,2106.0434737036276,2102.2268176798966,2068.0056199230603
3779.7498,3865.9622487801676,3680.1,4605.390213280861,3909.227700260934,4158.626729325679,4701.018889222981,4006.145018365301,3972.9633280852927,4367.16164502428
1343.251,1427.7892268202302,1279.43,1430.645897762873,1399.1321859760212,1493.1912514210192,1423.8730490196488,1417.8732893755268,1417.3765499667995,1398.9778383081016
3018.998,3033.4619755422473,2935.94,3021.031479128234,2878.350024630316,2757.451100041339,3005.660420834882,2949.0425953134527,2925.479137648733,2994.1696134659805
1513.5703,1672.645334138137,1762.24,1543.244986180225,1455.6776074296797,1508.3389030493097,1539.6995025967249,1481.9011980001208,1504.3202155698102,1576.3380357260246
